timestamp,action,price,quantity,fee,portfolio_value
2024-05-23 04:00:00,BUY,517.9227166625976,482.45615023444094,125.0,500000.0
2024-05-24 04:00:00,SELL,521.1411122558594,0.0,125.71386737392828,501478.0303539273
2024-05-29 04:00:00,BUY,518.0605616088867,483.5837805467949,125.32550522012066,501302.0208804826
2024-05-30 04:00:00,SELL,514.4180918945312,0.0,124.38212283001299,499465.01890195964
2024-06-24 04:00:00,BUY,536.1704450683594,465.37554720758897,124.82271849435932,499290.87397743727
2024-06-25 04:00:00,SELL,538.0199379638672,0.0,125.19066151926387,500076.84630911046
2024-06-28 04:00:00,BUY,537.6325294189453,464.67762945914984,124.97539234143179,499901.56936572713
2024-07-01 04:00:00,SELL,538.5235603637695,0.0,125.11992571886891,500240.6941024853
2024-07-17 04:00:00,BUY,550.1986407714844,454.2136661187926,125.01637904872064,500065.5161948825
2024-07-22 04:00:00,SELL,547.717155847168,0.0,124.39030867675014,498863.14152762754
2024-07-24 04:00:00,BUY,534.6786916992187,466.11137528750515,124.67224628556619,498688.98514226475
2024-07-26 04:00:00,SELL,537.6347611083985,0.0,125.29883895130246,499992.3000352301
2024-07-30 04:00:00,BUY,535.4394028930664,466.5018679048711,124.9542179086965,499816.871634786
2024-07-31 04:00:00,SELL,543.9251897827148,0.0,126.87105851707399,503701.31142666284
2024-08-01 04:00:00,BUY,536.4371609985351,469.0874873539026,125.88092044825599,503523.68179302395
2024-08-08 04:00:00,SELL,524.0171848754883,0.0,122.90495229175411,497620.91729529994
2024-08-16 04:00:00,BUY,547.600403942871,453.98077916623987,124.3622101319321,497448.84052772843
2024-08-19 04:00:00,SELL,552.6152238891601,0.0,125.4383449601635,499651.2955592503
2024-08-20 04:00:00,BUY,551.9372696777343,452.2487983958756,124.86891795980775,499475.67183923104
2024-08-21 04:00:00,SELL,553.6125219482421,0.0,125.18529891400141,500158.51788401126
2024-08-22 04:00:00,BUY,549.4871947998047,454.7269359084413,124.9958121121761,499983.24844870437
2024-08-23 04:00:00,SELL,555.1036787353515,0.0,126.21029747141509,502462.71338501456
2024-08-28 04:00:00,BUY,551.5420490478516,455.1193029905501,125.57150221742775,502286.00886971096
2024-08-29 04:00:00,SELL,551.3709659545899,0.0,125.46978485723965,502132.77210286836
2024-10-01 04:00:00,BUY,563.4602647338867,445.20098151840676,125.4892760911194,501957.10436447756
2024-10-04 04:00:00,SELL,567.5535808349609,0.0,126.33770562600552,503704.50862553844
2024-10-07 04:00:00,BUY,562.64766328125,447.238915896988,125.88190643215596,503527.6257286238
2024-10-08 04:00:00,SELL,567.7417756103516,0.0,126.95810811670233,505730.82249964366
2024-10-23 04:00:00,BUY,572.7451413574219,441.1214150647611,126.38826774739998,505553.0709895999
2024-10-25 04:00:00,SELL,573.5561642578125,0.0,126.5039533982614,505835.0539950228
2024-10-30 04:00:00,BUY,574.7468843994141,439.6762497432955,126.41448458448113,505657.9383379245
2024-11-05 05:00:00,SELL,571.2383295776367,0.0,125.57996322915997,504039.1376609806
2024-11-14 05:00:00,BUY,587.9657752075195,428.26590019501896,125.96582891601325,503863.315664053
2024-11-18 05:00:00,SELL,582.5799328735352,0.0,124.74955969381914,501480.6870255035
2024-12-12 05:00:00,BUY,598.8461857177734,418.35064378474664,125.32650691499273,501306.0276599709
2024-12-16 05:00:00,SELL,601.0433415039063,0.0,125.72343443034727,502150.1821243388
2024-12-17 05:00:00,BUY,598.8065049316406,418.93597351109105,125.49353981406242,501974.15925624967
2024-12-20 05:00:00,SELL,587.5223035766602,0.0,123.06711410418345,497170.544529472
2024-12-27 05:00:00,BUY,591.5951630493164,419.8392521006941,124.24956018059689,496998.24072238756
2025-01-07 05:00:00,SELL,585.017738671875,0.0,122.80670493481966,494161.6627393087
2025-01-08 05:00:00,BUY,586.1068829956055,421.20536628115093,123.49743088147459,493989.7235258983
2025-01-16 05:00:00,SELL,588.0092667114258,0.0,123.83632928094853,494717.0647654467
